정류장순번,정류장명,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,00시,01시,02시,03시
35,롯데캐슬스카이.이안두드림.백남준아트센터,0,0,0,17,20,8,8,10,13,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0
36,기흥역,0,0,0,10,15,7,8,11,12,14,15,0,0,0,0,0,0,0,0,0,0,0,0,0
37,수원컨트리클럽,0,0,0,3,9,3,3,5,6,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0
38,강남대역.강남대입구,0,0,0,6,7,4,5,6,9,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0
39,지석역,0,0,0,1,3,3,2,2,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
40,갈천마을.주공아파트,0,0,0,2,2,2,1,1,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
41,어정풍림아파트,0,0,0,4,5,2,1,3,5,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0
42,어정역,0,0,0,2,5,4,4,4,6,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0
43,동백이마트,0,0,0,2,4,3,3,4,5,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0
44,평촌마을,0,0,0,0,1,1,1,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
45,호수마을.자연앤데시앙.두산위브더제니스,0,0,0,1,2,2,1,2,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0
46,호수마을자연앤데시앙.월드메르디앙,0,0,0,0,1,0,0,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
47,동막초등학교.호수마을계룡리슈빌.어울림,0,0,0,0,1,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
48,동백중학교,0,0,0,1,2,1,1,1,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
49,동백고.호수마을서해그랑블.풍림코아루,0,0,0,0,2,1,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
50,동백소방서.동일하이빌.롯데캐슬,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
51,쥬네브상가,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
52,동백2동행정복지센터,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,동백역.성산마을서해그랑블,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
54,동백경남아너스빌,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,초당중학교.삼부르네상스아파트,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,초당초등학교.현진에버빌,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,초당역,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
