정류장순번,정류장,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,00시,01시
61,동백소방서.동일하이빌.롯데캐슬,0,0,0,0,0,0,1,0,0,0,0,0,0,0
62,쥬네브상가,0,0,0,0,0,1,0,0,0,0,0,0,0,0
63,동백2동행정복지센터,0,0,0,0,0,0,0,0,0,0,0,0,0,1
64,동백역.성산마을서해그랑블,0,0,0,0,0,1,0,0,0,0,0,0,0,0
65,동백경남아너스빌,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,초당중학교.삼부르네상스아파트,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,초당초등학교.현진에버빌,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,초당역,0,0,0,0,0,1,0,0,0,0,0,0,0,0
69,화운사입구,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,용인미르스타디움,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,멱조현풍림아파트,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,삼가역.두산위브,0,0,0,0,0,0,0,0,0,0,0,1,0,0
73,진우아파트,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,시청.용인대역,0,0,0,0,0,0,0,0,0,1,0,0,0,0
75,동원로얄듀크.용인등기소,0,0,0,0,0,0,1,0,1,0,1,1,0,0
76,역북동행정복지센터.럭스나인.명지대승차장,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,이마트.상공회의소,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,명지대,0,0,0,0,0,0,0,0,0,0,0,0,0,0
